Tweet Permalink    Tweet id    Poster username    Tweet post Date    Tweet text    Number of retweets    Is a retweet
https://twitter.com/JValdelarco/status/1207425540333940739    1207425540333940739    @JValdelarco    2019-12-19 00:20:56    Creo que no es eso, es ver la realidad. Perder con Apoel y perder la imbatibilidad en un grupo de regional, partiditos tan malos como contra el Quarabag, Eibar, Villareal...perder oportunidades y al final quedar el 6 o 7 y clasificarnos de rebote...y seguir con la venda...eso es.    0    No
https://twitter.com/ApoelBote/status/1207422197981204481    1207422197981204481    @ApoelBote    2019-12-19 00:07:39    Tras la jornada extra del clásico, seguimos más líderes que nunca.💪🏼    0    No
https://twitter.com/costaspapax/status/1207421053087166465    1207421053087166465    @costaspapax    2019-12-19 00:03:06    ΠΡΟΤΙΜΩ ΚΑΘΗΓΗΤΗ ΕΜΨΥΧΩΤΗ ΣΤΗΒ ΚΩΝΣΤΑΝΤΙΝΙΔΗ🔝    0    No
https://twitter.com/costaspapax/status/1207420717647699970    1207420717647699970    @costaspapax    2019-12-19 00:01:46    ΑΚΟΜΑ    0    No
https://twitter.com/VTOofficial_/status/1207416841578127363    1207416841578127363    @VTOofficial_    2019-12-18 23:46:22    0:0 for united is a win anyday. Go talk to them apoel and those nameless Europa teams. There are levels to this shit 😂 https://twitter.com/sanshtheman10/status/1207416232103817219 …    0    Yes
https://twitter.com/Sevillismo/status/1207413803203416070    1207413803203416070    @Sevillismo    2019-12-18 23:34:18    Sacar conclusiones y crucificar a todo el que se pueda por 2 partidos chungos ante Apoel y Bergantiños y una derrota dolorosa ante el Villarreal. 👏🏻👏🏻👏🏻👏🏻    3    No
https://twitter.com/panpan100/status/1207413242059984896    1207413242059984896    @panpan100    2019-12-18 23:32:04    # ΕΚΗ    0    No
https://twitter.com/panpan100/status/1207411365125787658    1207411365125787658    @panpan100    2019-12-18 23:24:36    Φίλος μας ❤❤❤😂😂😂https://twitter.com/Zilikourtin/status/1207405145627254785 …    1    Yes
https://twitter.com/ovatsugsccplfc/status/1207409545024299008    1207409545024299008    @ovatsugsccplfc    2019-12-18 23:17:22    vei pelo menos pense seu time nao ficou com o mesmo numero de pontos do APOEL    0    No
https://twitter.com/APOELLENE/status/1207409171341152261    1207409171341152261    @APOELLENE    2019-12-18 23:15:53    Βάλτε μυαλό κ πάρτε το χαμπάρι Πρωτάθλημα ο Ευθύμης θα το πάρει💛💙 (Εν τω μεταξύ καλύτερο προπονητή από τον @ APOELFC_Eftimis για το ΑΠΟΕΛ δεν βρίσκουμε! Σκεφτείτε το. Γίνεται!😎)https://twitter.com/apoelfcofficial/status/1207408196144504832 …    1    Yes
